add-none,1,10,20,110503,5525,0
add-none,1,20,40,49008,1225,0
add-none,1,40,80,111111,1388,0
add-none,1,80,160,113653,710,0
add-none,1,100,200,104536,522,0
add-none,1,1000,2000,116568,58,0
add-none,1,10000,20000,151699,7,0
add-none,1,10000,20000,119995,5,0
add-none,2,10,40,55032,1375,0
add-none,2,20,80,100923,1261,0
add-none,2,40,160,96719,604,0
add-none,2,80,320,101403,316,0
add-none,2,100,400,98979,247,0
add-none,2,1000,4000,111024,27,0
add-none,2,10000,40000,419487,10,0
add-none,2,10000,40000,409487,10,0
add-none,4,10,80,90182,1127,0
add-none,4,20,160,115823,723,0
add-none,4,40,320,104993,328,0
add-none,4,80,640,97555,152,0
add-none,4,100,800,138371,172,0
add-none,4,1000,8000,187603,23,0
add-none,4,10000,80000,893868,11,0
add-none,4,10000,80000,866575,10,0
add-none,8,10,160,191964,1199,0
add-none,8,20,320,152549,476,0
add-none,8,40,640,319327,498,0
add-none,8,80,1280,146988,114,0
add-none,8,100,1600,141736,88,0
add-none,8,1000,16000,274449,17,0
add-none,8,10000,160000,1440686,9,0
add-none,8,10000,160000,1546421,9,0
add-none,12,10,240,680378,2834,0
add-none,12,20,480,184856,385,0
add-none,12,40,960,225455,234,0
add-none,12,80,1920,174990,91,0
add-none,12,100,2400,172242,71,0
add-none,12,1000,24000,366551,15,0
add-none,12,10000,240000,2235355,9,0
add-none,12,10000,240000,2049522,8,0
add-yield-none,1,10,20,103338,5166,0
add-yield-none,1,20,40,41619,1040,0
add-yield-none,1,40,80,124939,1561,0
add-yield-none,1,80,160,151736,948,0
add-yield-none,1,100,200,161309,806,0
add-yield-none,1,1000,2000,774476,387,0
add-yield-none,1,10000,20000,6747885,337,0
add-yield-none,1,10000,20000,6806428,340,0
add-yield-none,2,10,40,40829,1020,0
add-yield-none,2,20,80,112976,1412,0
add-yield-none,2,40,160,127431,796,0
add-yield-none,2,80,320,159337,497,0
add-yield-none,2,100,400,175951,439,0
add-yield-none,2,1000,4000,812040,203,0
add-yield-none,2,10000,40000,7377085,184,0
add-yield-none,2,10000,40000,7398386,184,0
add-yield-none,4,10,80,127605,1595,0
add-yield-none,4,20,160,120704,754,0
add-yield-none,4,40,320,168497,526,0
add-yield-none,4,80,640,194909,304,0
add-yield-none,4,100,800,209024,261,0
add-yield-none,4,1000,8000,830542,103,0
add-yield-none,4,10000,80000,8882472,111,0
add-yield-none,4,10000,80000,8863195,110,0
add-yield-none,8,10,160,125788,786,0
add-yield-none,8,20,320,253488,792,0
add-yield-none,8,40,640,253382,395,0
add-yield-none,8,80,1280,211107,164,0
add-yield-none,8,100,1600,393792,246,0
add-yield-none,8,1000,16000,2718094,169,0
add-yield-none,8,10000,160000,22050821,137,0
add-yield-none,8,10000,160000,9195829,57,0
add-yield-none,12,10,240,589950,2458,0
add-yield-none,12,20,480,204024,425,0
add-yield-none,12,40,960,202829,211,0
add-yield-none,12,80,1920,341944,178,0
add-yield-none,12,100,2400,441936,184,0
add-yield-none,12,1000,24000,3328982,138,0
add-yield-none,12,10000,240000,29569737,123,0
add-yield-none,12,10000,240000,29431310,122,0
add-m,1,10,20,103743,5187,0
add-s,1,10,20,79498,3974,0
add-c,1,10,20,107352,5367,0
add-m,1,20,40,99198,2479,0
add-s,1,20,40,96407,2410,0
add-c,1,20,40,97823,2445,0
add-m,1,40,80,75940,949,0
add-s,1,40,80,100277,1253,0
add-c,1,40,80,102265,1278,0
add-m,1,80,160,109187,682,0
add-s,1,80,160,100236,626,0
add-c,1,80,160,98082,613,0
add-m,1,100,200,69938,349,0
add-s,1,100,200,104501,522,0
add-c,1,100,200,103174,515,0
add-m,1,1000,2000,136533,68,0
add-s,1,1000,2000,82277,41,0
add-c,1,1000,2000,51466,25,0
add-m,1,10000,20000,495702,24,0
add-s,1,10000,20000,294829,14,0
add-c,1,10000,20000,334194,16,0
add-m,1,10000,20000,491165,24,0
add-s,1,10000,20000,291167,14,0
add-c,1,10000,20000,332726,16,0
add-m,2,10,40,100657,2516,0
add-s,2,10,40,100369,2509,0
add-c,2,10,40,100813,2520,0
add-m,2,20,80,102433,1280,0
add-s,2,20,80,94814,1185,0
add-c,2,20,80,95616,1195,0
add-m,2,40,160,100535,628,0
add-s,2,40,160,97695,610,0
add-c,2,40,160,100722,629,0
add-m,2,80,320,108883,340,0
add-s,2,80,320,103904,324,0
add-c,2,80,320,74930,234,0
add-m,2,100,400,105154,262,0
add-s,2,100,400,99797,249,0
add-c,2,100,400,102403,256,0
add-m,2,1000,4000,267879,66,0
add-s,2,1000,4000,147071,36,0
add-c,2,1000,4000,202844,50,0
add-m,2,10000,40000,2446706,61,0
add-s,2,10000,40000,1522143,38,0
add-c,2,10000,40000,2309122,57,0
add-m,2,10000,40000,2555270,63,0
add-s,2,10000,40000,1286484,32,0
add-c,2,10000,40000,2224561,55,0
add-m,4,10,80,106995,1337,0
add-s,4,10,80,124357,1554,0
add-c,4,10,80,122788,1534,0
add-m,4,20,160,112154,700,0
add-s,4,20,160,121584,759,0
add-c,4,20,160,97084,606,0
add-m,4,40,320,108734,339,0
add-s,4,40,320,131566,411,0
add-c,4,40,320,112599,351,0
add-m,4,80,640,108467,169,0
add-s,4,80,640,122635,191,0
add-c,4,80,640,99874,156,0
add-m,4,100,800,155537,194,0
add-s,4,100,800,121529,151,0
add-c,4,100,800,152838,191,0
add-m,4,1000,8000,718384,89,0
add-s,4,1000,8000,533003,66,0
add-c,4,1000,8000,482363,60,0
add-m,4,10000,80000,6042140,75,0
