list-none-m,1,1000,1,3000,3847873,1282,55747
list-none-m,2,1000,1,6000,22355158,3725,22366010
list-none-m,4,1000,1,12000,89924234,7493,250140015
list-none-m,8,1000,1,24000,350251146,14593,2136632335
list-none-m,12,1000,1,36000,661743008,18381,6050874574
list-none-m,16,1000,1,48000,1319273307,27484,17164619541
list-none-m,24,1000,1,72000,2791140356,38765,53219557044
list-none-s,1,1000,1,3000,2800668,933,50106
list-none-s,2,1000,1,6000,17754459,2959,17709628
list-none-s,4,1000,1,12000,91637911,7636,271418234
list-none-s,8,1000,1,24000,340989543,14207,2086598918
list-none-s,12,1000,1,36000,1501759041,41715,14701963543
list-none-s,16,1000,1,48000,2404801481,50100,28130211416
list-none-s,24,1000,1,72000,9441793320,131136,174371489383
list-id-none,1,1,4,3,97665,32555,147
list-id-none,1,2,4,6,102865,17144,215
list-id-none,1,4,4,12,103510,8625,288
list-id-none,1,8,4,24,102598,4274,459
list-id-none,1,16,4,48,88639,1846,726
list-id-none,4,2,4,24,88549,3689,740
list-id-none,8,1,4,24,157569,6565,807
list-id-none,12,1,4,36,329482,9152,940
list-id-none,12,4,4,144,262765,1824,2758
list-id-none,16,2,4,96,344640,3590,2071
list-id-none,16,4,4,192,345535,1799,3187
list-id-m,1,10,4,30,70025,2334,1336
list-id-m,4,10,4,120,92507,770,48284
list-id-m,8,10,4,240,247239,1030,705561
list-id-m,12,10,4,360,377903,1049,1373727
list-id-m,16,10,4,480,536352,1117,3568460
list-id-m,1,20,4,60,50375,839,1790
list-id-m,4,20,4,240,262984,1095,515440
list-id-m,8,20,4,480,495981,1033,2066764
list-id-m,12,20,4,720,864449,1200,5981384
list-id-m,16,20,4,960,1320050,1375,12397891
list-id-m,1,40,4,120,67947,566,2877
list-id-m,4,40,4,480,520913,1085,1140971
list-id-m,8,40,4,960,2763419,2878,4720498
list-id-m,12,40,4,1440,2308117,1602,19461237
list-id-m,16,40,4,1920,3337630,1738,38624353
list-id-m,1,80,4,240,113289,472,5334
list-id-m,4,80,4,960,1223373,1274,2972479
list-id-m,8,80,4,1920,3243934,1689,19368591
list-id-m,12,80,4,2880,5828937,2023,48211180
list-id-m,16,80,4,3840,9194026,2394,108007717
list-id-s,1,10,4,30,37724,1257,674
list-id-s,4,10,4,120,71669,597,15441
list-id-s,8,10,4,240,151868,632,111883
list-id-s,12,10,4,360,215971,599,165453
list-id-s,16,10,4,480,284536,592,317084
list-id-s,1,20,4,60,43821,730,1129
list-id-s,4,20,4,240,128349,534,108637
list-id-s,8,20,4,480,9148653,19059,36221423
list-id-s,12,20,4,720,216763375,301060,1921142553
list-id-s,16,20,4,960,959330572,999302,10720526845
list-id-s,1,40,4,120,93846,782,2152
list-id-s,4,40,4,480,404880,843,928702
list-id-s,8,40,4,960,13520836,14084,73606015
list-id-s,12,40,4,1440,369950917,256910,2911733094
list-id-s,16,40,4,1920,733276240,381914,7936776600
list-id-s,1,80,4,240,161879,674,4065
list-id-s,4,80,4,960,882823,919,1382900
list-id-s,8,80,4,1920,4243901,2210,18441292
list-id-s,12,80,4,2880,193370405,67142,1657188588
list-id-s,16,80,4,3840,10489272454,2731581,144614232508
list-none-m,1,1000,4,3000,2859781,953,55856
list-none-m,2,1000,4,6000,16787824,2797,16670047
list-none-m,4,1000,4,12000,67283723,5606,165398076
list-none-m,8,1000,4,24000,291746342,12156,1811665562
list-none-m,12,1000,4,36000,645317448,17925,5829602544
list-none-m,1,1000,8,3000,2849308,949,57601
list-none-m,2,1000,8,6000,16642893,2773,15693595
list-none-m,4,1000,8,12000,85478187,7123,240763857
list-none-m,8,1000,8,24000,330364686,13765,2143342186
list-none-m,12,1000,8,36000,749362929,20815,7130292723
list-none-m,1,1000,16,3000,2847089,949,57776
list-none-m,2,1000,16,6000,17704994,2950,17516381
list-none-m,4,1000,16,12000,83695527,6974,245424949
list-none-m,8,1000,16,24000,320073903,13336,2048712360
list-none-m,12,1000,16,36000,943830397,26217,9485080592
list-none-s,1,1000,4,3000,2844975,948,50333
list-none-s,2,1000,4,6000,17792373,2965,17763432
list-none-s,4,1000,4,12000,93837604,7819,279284412
list-none-s,8,1000,4,24000,423208625,17633,2667022533
list-none-s,12,1000,4,36000,1210257338,33618,10714220681
list-none-s,1,1000,8,3000,2840938,946,48708
list-none-s,2,1000,8,6000,20540682,3423,20615185
list-none-s,4,1000,8,12000,83382376,6948,224048717
list-none-s,8,1000,8,24000,339428932,14142,1953049230
list-none-s,12,1000,8,36000,1085260001,30146,9729708458
list-none-s,1,1000,16,3000,2885361,961,48778
list-none-s,2,1000,16,6000,18975471,3162,19141272
list-none-s,4,1000,16,12000,89481957,7456,247088944
list-none-s,8,1000,16,24000,219933708,9163,1109085725
list-none-s,12,1000,16,36000,1192063832,33112,10979524189
